date,open,high,low,close,adjusted_close,volume
2021-01-07,1.0389,1.0897,1.0288,1.0837,1.0837,0
2021-01-08,1.0837,1.1332,1.0771,1.1204,1.1204,0
2021-01-11,1.1204,1.1469,1.0984,1.1452,1.1452,0
2021-01-12,1.1452,1.1855,1.1316,1.1342,1.1342,0
2021-01-13,1.1342,1.1342,1.0739,1.0875,1.0875,0
2021-01-14,1.0875,1.1344,1.0791,1.1284,1.1284,0
2021-01-15,1.1284,1.1284,1.0878,1.0903,1.0903,0
2021-01-19,1.0903,1.1211,1.0802,1.0946,1.0946,0
2021-01-20,1.0946,1.1075,1.0785,1.0828,1.0828,0
2021-01-21,1.0828,1.1178,1.0761,1.1135,1.1135,0
2021-01-22,1.1135,1.1197,1.083,1.0864,1.0864,0
2021-01-25,1.0864,1.1052,1.0254,1.033,1.033,0
2021-01-26,1.033,1.0534,1.0305,1.0406,1.0406,0
2021-01-27,1.0406,1.0534,1.0068,1.0161,1.0161,0
2021-01-28,1.0161,1.0645,1.0035,1.0501,1.0501,0
2021-01-29,1.0501,1.1039,1.0426,1.0638,1.0638,0
2021-02-01,1.0638,1.0894,1.0613,1.0783,1.0783,0
2021-02-02,1.0783,1.1211,1.0733,1.1014,1.1014,0
2021-02-03,1.1014,1.1452,1.1014,1.1392,1.1392,0
2021-02-04,1.1392,1.1616,1.1255,1.1479,1.1479,0
2021-02-05,1.1479,1.1894,1.1292,1.1687,1.1687,0
2021-02-08,1.1687,1.2007,1.1447,1.1679,1.1679,0
2021-02-09,1.1679,1.1715,1.1413,1.1611,1.1611,0
2021-02-10,1.1611,1.1759,1.1277,1.1302,1.1302,0
2021-02-11,1.1302,1.1723,1.1302,1.1665,1.1665,0
2021-02-12,1.1665,1.2115,1.1499,1.2099,1.2099,0
2021-02-16,1.2099,1.3158,1.2099,1.3158,1.3158,0
2021-02-17,1.3158,1.3319,1.2737,1.2737,1.2737,0
2021-02-18,1.2737,1.3159,1.2602,1.2981,1.2981,0
2021-02-19,1.2981,1.3627,1.2848,1.3397,1.3397,0
